# figure: fig_intro_1 — Évolution de la population totale, urbaine et rurale de la RDC (1950-2025)
# source: Division de la population des Nations Unies — World Population Prospects 2024 (WPP 2024)
# indicateur: population totale (millions), taux d'urbanisation (%), population urbaine et rurale dérivées
# date_reference: estimation mi-année 2025
# note: valeurs approximées d'après les tables WPP 2024 standard pour la RDC
# metadata: 08_figures/donnees/fig_intro_1_population_totale_urbaine_rurale_metadata.txt
# script: 09_scripts/generer_figures_intro.py → def fig1()
annee,population_totale_millions,taux_urbanisation_pct,population_urbaine_millions,population_rurale_millions
1950,12.5,19.0,2.375,10.125
1955,13.9,19.5,2.711,11.189
1960,15.6,20.5,3.198,12.402
1965,17.7,22.0,3.894,13.806
1970,20.4,24.0,4.896,15.504
1975,23.6,26.5,6.254,17.346
1980,27.5,28.5,7.838,19.663
1985,32.5,29.0,9.425,23.075
1990,37.9,29.0,10.991,26.909
1995,44.0,29.5,12.980,31.020
2000,50.9,30.5,15.525,35.375
2005,59.5,32.5,19.338,40.163
2010,70.0,35.0,24.500,45.500
2015,81.5,39.0,31.785,49.715
2020,96.5,43.5,41.978,54.523
2025,112.0,46.0,51.520,60.480
