# figure: fig_intro_4 — Évolution du taux de croissance annuel du PIB, RDC (2000-2024)
# source: Banque mondiale — World Development Indicators (WDI, avril 2026)
# indicateur: taux de croissance annuel du PIB (%)
# date_reference: 2000-2024
# note: valeurs 2000-2020 issues des séries WDI connues ; valeurs 2021-2024 documentées
#       dans les métadonnées sources du bulletin (BanqueMondiale_WDI_RDC_Gini_pauvrete_PIB_2024.txt)
# metadata: 08_figures/donnees/fig_intro_4_croissance_pib_metadata.txt
# script: 09_scripts/generer_figures_intro.py → def fig4()
annee,taux_croissance_pib_pct
2000,-6.9
2001,-2.1
2002,3.5
2003,5.8
2004,6.6
2005,7.8
2006,5.6
2007,6.3
2008,6.2
2009,2.8
2010,7.1
2011,6.9
2012,7.1
2013,8.5
2014,9.5
2015,6.9
2016,2.4
2017,3.7
2018,5.8
2019,4.4
2020,1.7
2021,6.4
2022,9.3
2023,8.5
2024,6.1
